no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
86,2)[C@H]1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)FCOC1=CC(=C2C=C(CC3=C([NH]C4=CC=C(C,]C(=O)N2)[C@H]1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,0.94,0.75,1,1.69,13,13.41,0.05,0.04,0.03,-0.13,0.00,0.23,1.11,1.13,-1.30,-1.46
87,l)C=C34)C(=O)N(C)C)OC2=C1OC)CC5=CN=C(N)N=C5NNCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N,)C=C4)C(=O)N(C)C)O2)C(=C1)CC5=C(N)N=C(N)N=C5[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])CC[C@H,5.06,4.02,7.49,4.92,44.55,22.55,,,0.70,0.60,0.87,0.69,1.65,1.35,,
88,)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3OC[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C,]2[NH3+])[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3OC[C@@H]1CCN([C@H](C1)C([O-,0.21,0.26,1.28,1.21,2.46,3.29,,,0.68,-0.58,0.11,0.08,0.39,0.52,,
89,@H](CCCNC(N)=N)N[S](=O)(=O)C2=CC=CC3=C2NCC(C)C3,])=O)C(=O)[C@H](CCCNC(N)=[NH2+])N[S](=O)(=O)C2=C3NC[C@H](C)CC3=CC=C2,0.17,0.21,5,3.67,0.4,0.97,0.46,0.39,0.77,-0.67,0.70,0.56,-0.40,-0.01,-0.34,-0.41
90,=C4CCC(=O)NC4=C3)CC2C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](,=C(CCC(=O)N4)C=C3)CC2C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O[C@,4.9,3.89,0.83,1.42,75,30.47,0.01,0.01,0.69,0.59,-0.08,0.15,1.88,1.48,-2.00,-1.87
91,O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4)OC(=O)CCC(O)=OCCCN[C@H](C)C(=O)NC1=C(SC=C1C)C(=O,@H]3O[C@]4(C)CC[C@@H]1[C@]23OO4)OC(=O)CCC([O-])=OCCC[NH2+][C@H](C)C(=O)NC1=C(SC=C1C)C(=O),15,4.46,1070,103.08,0.22,0.67,0.25,0.20,1.18,0.65,3.03,2.01,-0.66,-0.17,-0.60,-0.70
92,)OC,,7.7,6.12,126.7,45.15,0.98,1.50,0.46,0.46,0.89,0.79,2.10,1.65,-0.01,0.18,-0.34,-0.33
93,COC1=CC(=C(C=CC)C=C1OC)OC,COC1=C(OC)C=C(\C=C\C)C(=C1)OC,1,1.26,8.8,7.82,3.7,3.43,,,0.00,0.10,0.94,0.89,0.57,0.54,,
94,OC[C@H](O)[C@H]1OC(=O)C(=C1O)OCN1C[C@H]2[C@H](C1)C3=CC(=CC=C3OC,OC[C@H](O)[C@H]1OC(=O)C(=C1[O-])OC[NH+]1C[C@H]2[C@H](C1)C3=C(OC4=C2C=CC=,0.35,0.28,1.05,1.66,11.4,5.87,0.26,0.39,0.46,-0.56,0.02,0.22,1.06,0.77,-0.59,-0.41
95,CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=,CNC(=O)C[C@@H]([NH3+])C(=O)N[C@@H](C(=O),23,4.47,12.4,9.87,,,0.05,0.09,1.36,0.65,1.09,0.99,,,-1.30,-1.07
96,O)N[C@@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)C3=CC=C(O)C=C3CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](,N[C@@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C([O-])=O)C3=CC=C(O)C=C3CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@H](O)C[C@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C,0.27,0.34,2.82,2.61,1.45,1.53,,,0.57,-0.47,0.45,0.42,0.16,0.19,,
97,O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8OCO[C@H]1[C@@H](O)[C@H](N)[C@@H](O,@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[C@H](O)[C@H](O)[C@H]8OCO[C@H]1[C@@H](O)[C@H]([NH3+])[C@@H](O[,0.12,0.15,0.74,0.83,2.65,4.45,0.14,0.13,0.92,-0.82,-0.13,-0.08,0.42,0.65,-0.85,-0.89
98,[C@H]2O[C@@H](CC[C@H]2N)[C@H](C)N)[C@H](O)[C@H]1N(C)C(=O)CN,C@@H]2O[C@@H](CC[C@H]2[NH3+])[C@H](C)[NH3+])[C@H](O)[C@H]1N(C)C(=O)C[NH3+],0.23,0.35,1.37,1.44,2,3.14,,,0.64,-0.46,0.14,0.16,0.30,0.50,,
99,COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(=COC1=C2C=CC(=CC2=C(O[C@@H]3C[C@H](N(C3101CCC1(CC2=C(C1)C=CC=C2)C3=CN=C[NH]3CNCC[C@@H](OC1=CC=CC=C1C)C2=CC=,C=C1CCC1(CC2=C(C1)C=CC=C2)C3=CN=C[NH]3C[NH2+]CC[C@@H](OC1=C(C)C=CC=C1)C2=CC=,2.77,2.20,11.78,8.75,20,11.72,0.012,0.02,0.44,0.34,1.07,0.94,1.30,1.07,-1.92,-1.72
102,CC=C2OC1=C([C@@H]2CC[C@H](CC2)C3=CC=C(,CC=C2[O-,0.85,1.63,9.3,9.87,5.2,8.88,0.02,0.15,0.07,0.21,0.97,0.99,0.72,0.95,-1.70,-0.84
103,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C,0.0010.0031(C=CC=C4)C1=OC[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@@,0.6,0.76,0.15,0.23,63,28.74,,,0.22,-0.12,-0.82,-0.64,1.80,1.46,-3.00,-2.51
104,O)C3=CC=CC=C3COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(=C1,H](CO)C3=CC=CC=C3COC1=C2N(C=C(C([O-,3.3,2.62,7.6,10.38,4.1,2.91,0.61,0.57,0.52,0.42,0.88,1.02,0.61,0.46,-0.21,-0.24
105,N3CCCC(C3)=C(F)CN)F)C4CC4NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2,])=O)C(=O)C2=CC(=C1N3CCC\C(C3)=C(\F)C[NH3+])F)C4CC4NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2O[S]([O,1.13,1.42,0.78,1.30,19.64,12.44,0.34,0.27,0.05,0.15,-0.11,0.11,1.29,1.09,-0.47,-0.57
106,O[S](O)(=O)=OCN[S](=O)(=O)CC1=CC=C2[NH]C=C(CCCN3,-])(=O)=OCN[S](=O)(=O)CC1=CC2=C([NH]C=C2CCC[NH+]3,0.24,0.30,2.76,2.79,1.7,1.98,0.93,0.83,0.62,-0.52,0.44,0.45,0.23,0.30,-0.03,-0.08
107,CCN(CC3)C4=C(OC)C=NC=N4)C2=C1COC1=CC=CC=C1OC2=C(OC)N=C(N=C2N[S,CCN(CC3)C4=C(OC)C=NC=N4)C=C1COC1=C(OC2=C(OC)N=C(N=C2N[S](=O)(=O)C3=N,0.87,1.09,6.44,7.23,5.26,4.84,,,0.06,0.04,0.81,0.86,0.72,0.69,,
108,](=O)(=O)C3=NC=C(C)C=C3)C4=CC=NC=C4CNC(=O)C1=CC=CC=C1SC2=CC=C3C(=C2)[,C=C(C)C=C3)C4=CC=NC=C4)C=CC=C1CNC(=O)C1=C(SC2=CC3=C(C=C2)C(=N[NH]3)\C=C,0.27,0.34,0.52,0.82,7.2,5.51,,,0.57,-0.47,-0.28,-0.08,0.86,0.74,,
109,NH]N=C3C=CC4=CC=CC=N4NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO,\C4=NC=CC=C4)C=CC=C1NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@,,,5,3.08,4.3,5.60,0.004,0.01,,,0.70,0.49,0.63,0.75,-2.40,-2.21
110,)[C@@H](O)[C@H]2OCCCC1C(=O)N2N(C1=O)C(=NC3=CC=C(C)C,H](O)[C@H]2OCCC[C@H]1C(=O)N2N(C1=O)C(=NC3=C2C=C(C)C,0.47,0.66,35,22.49,0.36,0.68,,,0.33,-0.18,1.54,1.35,-0.44,-0.17,,
111,=C23)N(C)CCC(C)C(N(CCCN)C(=O)C1=CC=C(C)C=C1)C,=C3)N(C)CCC(C)[C@H](N(CCC[NH3+])C(=O)C1=CC=C(C)C=,0.12,0.15,0.14,0.63,17,12.42,0.004,0.01,0.92,-0.82,-0.85,-0.20,1.23,1.09,-2.40,-1.87
112,2=NC3=C(C(=NS3)C)C(=O)N2CC4=CC=CC=C4,C1)C2=NC3=C(C(=NS3)C)C(=O)N2CC4=CC=CC=C4,6.74,5.36,5.83,4.47,16.3,13.34,,,0.83,0.73,0.77,0.65,1.21,1.13,,
113,)C4=CC=CC=C4C2=OCN1CCN(CCCCN2C(=O)CN(N=CC3=CC=C(,=C3)C4=C(C=CC=C4)C2=OC[NH+]1CC[NH+](CCCCN2C(=O)CN(\N=C\C3=CC=,15,11.91,9,7.21,22,16.15,0.17,0.10,1.18,1.08,0.95,0.86,1.34,1.21,-0.77,-0.99
114,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C),CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C,13,10.32,2.4,3.21,79,32.63,0.06,0.07,1.11,1.01,0.38,0.51,1.90,1.51,-1.22,-1.18
115,C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)OCC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC,@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)OCC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N,33,9.49,10,6.14,69,21.04,0.88,0.45,1.52,0.98,1.00,0.79,1.84,1.32,-0.06,-0.34
116,(=O)N3CCNC3=O)C4=CC=CC=C4)C(=O)N2[C@H]1C(O)=OC[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(O),3CCNC3=O)C4=CC=CC=C4)C(=O)N2[C@H]1C([O-])=OC[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C([O-,0.26,0.19,2.5,2.29,1.2,1.47,0.65,0.44,0.59,-0.73,0.40,0.36,0.08,0.17,-0.19,-0.35
117,=O)C2=CSC(=N2)N)C(=O)N1[S](O)(=O)=O,])=O)C2=CSC(=N2)N)C(=O)N1[S]([O-])(=O)=O,0.18,0.38,1.5,1.57,1.5,2.40,0.4,0.39,0.74,-0.41,0.18,0.20,0.18,0.38,-0.40,-0.41
118,CC1=CC=C(C=C1)C(CN)CC(O)=OCN(C)C(=O)OC1=CC(=CC(=C1)C(O)CNC(C)(,CC1=CC=C(C=C1)[C@@H](C[NH3+])CC([O-])=OCN(C)C(=O)OC1=CC(=CC(=C1)OC(=O)N(C)C)[C@,0.65,0.55,1.7,2.00,5.24,3.85,0.69,0.70,0.19,-0.26,0.23,0.30,0.72,0.59,-0.16,-0.16
119,C)C)OC(=O)N(C)CCC1=NC(=C(C)[N]1C2=CC=C(F)C=C2)C#CC,H](O)C[NH2+]C(C)(C)CCC1=NC(=C(C)[N]1C2=CC=C(F)C=C2)C#CC3=CC(=,1.6,1.27,18,10.17,2.6,3.18,,,0.20,0.10,1.26,1.01,0.41,0.50,,
120,CCN(CC)CCNC(=O)C1=C(O[C@H](C)C(C)=,CC[NH+](CC)CCNC(=O)C1=C(O[C@H](C)C(C)=O),9.7,7.70,2.8,2.00,78.9,30.42,0.01,0.02,0.99,0.89,0.45,0.30,1.90,1.48,-2.00,-1.81
121,NC(=N)NCCC[C@@H]1NC(=O)CCSSC[C@H,NC(=[NH2+])NCCC[C@@H]1NC(=O)CCSSC[C@H],1.5,1.89,9.32,6.22,2.7,3.49,0.46,0.37,0.18,0.28,0.97,0.79,0.43,0.54,-0.34,-0.44
122,](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1),(NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=C[NH]CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN([O-,0.42,0.33,2.88,2.24,2.12,2.78,,,0.38,-0.48,0.46,0.35,0.33,0.44,,
124,CN(O)C=O)C(=O)N2CCN(CC2)CC3=CC=C4OCOC4=C3CCN(CC)CCN1C(=O)C2=C3C(=C4[N]([C@@H]5O[C@H](CO)[C@@H](OC)[C@H](O)[C@,])C=O)C(=O)N2CC[NH+](CC2)CC3=CC4=C(OCO4)C=C3CC[NH+](CC)CCN1C(=O)C2=C3C(=C4[N]([C@@H],1.1,1.03,3.1,3.79,9.4,7.00,0.2,0.13,0.04,0.01,0.49,0.58,0.97,0.85,-0.70,-0.90
125,COC1=CC=C2C(=C1)[C@@H]3C[C@@]3(C[N]4C5=CC(=CC=C5C(=C24)C6CCCCC6)C(=,5O[C@H](CO)[C@H](OC)[C@H](O)[C@H]5O)C6=CCOC1=CC2=C(C=C1)C3=C(C4CCCCC4)C5=C(C=C(C=C5)C(=O)N=[S]([O-,8.9,7.08,3.13,3.85,48.9,38.38,,,0.95,0.85,0.50,0.59,1.69,1.58,,
126,O)N[S](=O)(=O)N(C)C)C(=O)N7[C@@H]8CC[C@H]7CN(C)C8CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=,])(=O)N(C)C)[N]3C[C@]6(C[C@@H]26)C(=O)N7[C@@H]8CC[C@H]7C[NH+](C)C8CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C),0.5,0.63,1.33,2.00,5.38,7.00,0.01,0.02,0.30,-0.20,0.12,0.30,0.73,0.84,-2.00,-1.79
127,ONC(=O)C=CC1=CC=CC(=C1)[S](=O)(=O)N,C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C[O-,0.29,0.37,36,23.12,0.5,1.10,0.13,0.07,0.54,-0.44,1.56,1.36,-0.30,0.04,-0.89,-1.15
128,C2=CC=CC=C2,]NC(=O)\C=C\C1=CC(=CC=C1)[S](=O)(=O)NC2=CC=CC=C2,0.8,0.64,23.6,6.03,1.6,2.72,0.06,0.02,0.10,-0.20,1.37,0.78,0.20,0.44,-1.22,-1.79
129,CCC(O)=OFC1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)N3,O-])=OFC1=CC=C(C=C1)C(=O)CCC[NH+]2CCC(CC2)N3C(,0.22,0.28,4.49,3.19,0.41,0.87,0.05,0.04,0.66,-0.56,0.65,0.50,-0.39,-0.06,-1.30,-1.37
130,C(=O)NC4=CC=CC=C34CN(C)CCCOC1=N[N](CC2=CC=CC=C2)C3=,=O)NC4=C3C=CC=C4C[NH+](C)CCCOC1=N[N](CC2=CC=CC=C2)C3=CC,3.8,3.61,8.3,6.97,5.8,5.95,,,0.58,0.56,0.92,0.84,0.76,0.77,,
131,C1C=CC=C3CC(C)COC[C@@H](CN(CC1=CC=CC=C1)C2,=CC=C13CC(C)COC[C@@H](CN(CC1=CC=CC=C1)C2=CC=,1.53,1.92,2.28,3.69,8.1,6.97,0.8,0.33,0.18,0.28,0.36,0.57,0.91,0.84,-0.10,-0.48
132,=CC=CC=C2)N3CCCC3COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](OCC6,CC=C2)[NH+]3CCCC3COC1=C2C(=O)C3=C(C(=C4C[C@](O)(C[C@H](O[,10.1,8.02,8.7,7.87,14.9,12.82,0.001,0.01,1.00,0.90,0.94,0.90,1.17,1.11,-3.00,-2.21
133,=CC=CC=C6)[C@H](C)O5)C(=O)CO)C(=C3C(=O)C2=CC=C1)OC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O),C@H]5C[C@H]([NH3+])[C@H](OCC6=CC=CC=C6)[C@H](C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=CC=C1C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[,48,38.10,18.5,16.71,34.6,26.23,,,1.68,1.58,1.27,1.22,1.54,1.42,,
134,C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO,1.3,0.90,2.8,3.64,5.6,4.12,0.36,0.27,0.11,-0.04,0.45,0.56,0.75,0.62,-0.44,-0.56
135,OC(=O)CCNC(=O)C1=CC=CC=C1CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=,[O-]C(=O)CCNC(=O)C1=CC=CC=C1CC(C)[NH2+]C[C@@H](O)COC1=CC=C(CCOCC2C,0.28,0.25,9.2,5.17,0.59,0.91,0.17,0.29,0.55,-0.59,0.96,0.71,-0.23,-0.04,-0.77,-0.54
136,C1COC1=CC=C(CCNCC(O)COC2=CC=CC(=C2),C2)C=C1COC1=C(OC)C=C(CC[NH2+]C[C@H](O)COC2=CC(,4.8,3.81,3.4,5.20,17,9.54,0.4,0.43,0.68,0.58,0.53,0.72,1.23,0.98,-0.40,-0.36
137,C)C=C1OCCC[C@H]1N(C2CCCC2)C3=C(C=NC(=N3)N,=CC=C2)C)C=C1CC[C@H]1N(C2CCCC2)C3=C(C=NC(=N3)NC4=C(O,0.67,0.94,5.5,7.06,1.9,3.19,0.015,0.03,0.17,-0.03,0.74,0.85,0.28,0.50,-1.82,-1.48
138,C4=C(OC)C=C(C=C4)C(=O)NC5CCN(C)CC5)N(C)C1=OC[C@@H](O)[C@@H]1[C@H]2[C@@H](C),C)C=C(C=C4)C(=O)NC5CC[NH+](C)CC5)N(C)C1=OC[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N,31.2,24.80,17.1,10.91,40.1,21.60,,,1.49,1.39,1.23,1.04,1.60,1.33,,
139,C(=C(N2C1=O)C([O-])=O)SC3C[N]4C=NC=[N+]4C3CC(C)N(CC[C@@](CCN1CCCCC1)(C(N)=O),2C1=O)C([O-])=O)SC3C[N]4C=NC=[N+]4C3CC(C)N(CC[C@@](CC[NH+]1CCCCC1)(C(N)=O)C2,0.2,0.25,2.5,2.92,1.1,1.31,0.92,0.78,0.70,-0.60,0.40,0.46,0.04,0.12,-0.04,-0.11
140,CCOCC[N]1C(=NC2=C1C=CC=C2)C3CCN(C,CCOCC[N]1C(=NC2=C1C=CC=C2)C3CC[NH+](CC3,2.6,2.06,5.43,4.80,12,9.41,,,0.41,0.31,0.73,0.68,1.08,0.97,,
141,C3)CCC4=CC=C(C=C4)C(C)(C)C(O)=OCC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC4O,)CCC4=CC=C(C=C4)C(C)(C)C([O-])=OCC(C)(C)[C@]1(O)C[C@@H]2OC(=O)C[C@@]23C(,0.61,0.77,2.87,3.48,5.16,4.60,0.13,0.10,0.21,-0.11,0.46,0.54,0.71,0.66,-0.89,-0.98
142,C(=O)C(O)C134143CCNC(=O)CCCC=CC[C@H]1[C@@H](O)C[CCNC(=O)CCC\C=C\C[C@H]1[C@@H](O)C[C@@0.67CC4OC(CCN1CCCCC1)(C2CC3CC2C=C3)C4=CC,=O)O[C@@H]4OC(=O)[C@H](O)[C@]134O[C@](CC[NH+]1CCCCC1)([C@H]2C[C@@H]3C[C,2.5,1.98,10,6.69,3.2,3.15,0.12,0.09,0.40,0.30,1.00,0.83,0.51,0.50,-0.92,-1.04
145,=CC=C4COC1=CC(=CC(=C1OC)OC)C(=O)C(=O)N2C,@H]2C=C3)C4=CC=CC=C4COC1=C(OC)C(=CC(=C1)C(=O)C(=O)N2CCCC[C@,12,3.22,12,9.32,24,15.13,0.097,0.12,1.08,0.51,1.08,0.97,1.38,1.18,-1.01,-0.92
146,CCC[C@H]2C(=O)OC(CCCC3=CN=CC=C3)CCCC4=CN=CC=C4CCN1C[C@H]2CN(C)C[C@@H](C1)C2OC(=,H]2C(=O)OC(CCCC3=CN=CC=C3)CCCC4=CN=CC=C4)OCCC[NH+]1C[C@H]2C[NH+](C)C[C@@H](C1)C2OC(,1.34,1.06,8.5,6.02,1.1,2.24,,,0.13,0.03,0.93,0.78,0.04,0.35,,
147,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C,CC(C)[NH2+]C[C@@H](O)COC1=CC=C(COCCOC(,9,7.15,17,12.04,8.6,4.73,,,0.95,0.85,1.23,1.08,0.93,0.68,,
148,=C1CC1=C[NH]C2=C1C3=C(C=C2O)N(C[C@H]3,C)C)C=C1=O)C4=CC5=C([NH]4)C=CC(=C5)NC(=O)NC6=CC7,2.4,1.91,3.7,5.06,10,6.88,0.66,0.49,0.38,0.28,0.57,0.70,1.00,0.84,-0.18,-0.31
149,=O)NC6=CC=C7[NH]C(=CC7=C6)C(=O)N8C[H]%10)CCC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC,(=C[NH]C%10=C(O)C=C89)C)C=C6CC1(C)S[C@H]2[C@H](NC(=O)[C@H](NC(=O)NC(,0.05,0.06,0.5,0.77,1.6,3.10,,,1.30,-1.19,-0.30,-0.11,0.20,0.49,,
150,(=O)NC(N)=N)C3=CC=CC=C3)C(=O)N2[C@@H]1C(O)=OO=[S](=O)(N1CC2=CC(=CC=C2N(C[C@H]1C,N)=N)C3=CC=CC=C3)C(=O)N2[C@@H]1C([O-])=OO=[S](=O)(N1CC2=C(C=CC(=C2)C#N)N(C[C@H]1C,0.24,0.30,1.6,1.84,2.09,1.70,0.8,0.57,0.62,-0.52,0.20,0.27,0.32,0.23,-0.10,-0.24
151,C3=CC=CC=C3)CC4=CN=C[NH]4)C#N)C5=CC=CS5CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=,C3=CC=CC=C3)CC4=CN=C[NH]4)C5=CC=CS5CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC,0.84,1.03,9.6,5.22,1.6,2.83,0.01,0.01,0.08,0.01,0.98,0.72,0.20,0.45,-2.00,-1.94
152,C1)NC(=O)C2=CN=CC=N2)B(O)OCOC1=CC=CC=C1OC2=C(N[S](=O)(=O)C3=,(=O)C2=NC=CN=C2)B(O)OCOC1=C(OC2=C(OCCO)N=C(N=C2N[S](=O)(=O)C3,10,4.09,19,8.27,18,12.53,0.17,0.12,1.00,0.61,1.28,0.92,1.26,1.10,-0.77,-0.92
153,CC=C(C=C3)C(C)(C)C)N=C(N=C2OCCO)C4=NC=CC=N4O=C1NC2=CC(=CC=C2C=C1)OCCCCN3CCN,=CC=C(C=C3)C(C)(C)C)C4=NC=CC=N4)C=CC=C1O=C1NC2=C(C=C1)C=CC(=C2)OCCCC[NH+]3CCN(,0.29,0.36,2.1,2.74,4.1,5.23,0.037,0.03,0.54,-0.44,0.32,0.44,0.61,0.72,-1.43,-1.57
154,(CC3)C4=C5C=CSC5=CC=C4CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O),CC3)C4=C5C=CSC5=CC=C4,1.46,1.84,0.34,1.00,54.37,26.42,0.002,0.01,0.16,0.26,-0.47,0.00,1.74,1.42,-2.70,-2.28
155,C1BrC1=CC=C2NC(=O)CN=C(C3=CC=CC=N3),CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1,0.56,0.99,0.75,1.43,8.98,6.30,0.825,0.72,0.25,0.00,-0.12,0.15,0.95,0.80,-0.08,-0.14
156,C2=C1NC1=C(CC(O)=O)C=CC=C1C(=O)C2=CC=C(,BrC1=CC2=C(NC(=O)CN=C2C3=NC=CC=C3)C=C1NC1=C(C=CC=C1CC([O-,0.85,1.48,0.51,0.65,21,12.18,0.48,0.21,0.07,0.17,-0.29,-0.19,1.32,1.09,-0.32,-0.68
157,Br)C=C2CCN(CC)CCNC(=O)C1=CC(=C(N)C=C1OC)B,0.00110.01])=O)C(=O)C2=CC=C(Br)C=C2,0.11,0.09,1.3,1.14,2.6,3.20,,,0.96,-1.04,0.11,0.06,0.41,0.51,-2.96,-1.98
158,COC1=C2OC3=CC=C(C[C@@H]4N(C)CCC5=CC(=C(OC6=C(OC)C(=C(Br)C7=C6[C@H](,CC[NH+](CC)CCNC(=O)C1=C(OC)C=C(N)C(=C1)BrCOC1=C2OC3=CC=C(C[C@@H]4[NH+](C)CCC5=C,3.1,2.58,13,7.50,2.9,3.47,0.6,0.39,0.49,0.41,1.11,0.88,0.46,0.54,-0.22,-0.41
159,CC(=C2)C=C1)N(C)CC7)OC)C=C45)OC)C=CC[N]1C=C(NC(=O)C2=CC(=C[N]2C)NC(=O)C,C(=C(OC6=C(OC)C(=C(Br)C7=C6[C@H](CC(=C2)C=C1)[NH+](C)CC7)OC)C=C45)OC)C=C3C[N]1C=C(NC(=O)C2=CC(=C[N]2C)NC(=O)C3=CC(,51,5.74,9.6,6.84,59.4,35.30,0.22,0.17,1.71,0.76,0.98,0.84,1.77,1.55,-0.66,-0.77
160,3=CC(=C[N]3C)NC(=O)C4=CC(=C[N]4C)NC(=O)C(Br)=C)C=C1C(=O)NCCN=C(N)N,=C[N]3C)NC(=O)C4=CC(=C[N]4C)NC(=O)C(Br)=C)C=C1C(=O)NCC[NH+]=C(N)N,0.36,0.45,5.15,3.40,8.3,7.26,,,0.44,-0.34,0.71,0.53,0.92,0.86,,
161,SC(=C4)Br)[N]12CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5,C4)Br)[N]12CCC[C@@H]1O[C@@H]2C[C@@H]3[C@@H]4CC,0.75,0.94,2,1.69,4.8,5.73,0.092,0.06,0.12,-0.03,0.30,0.23,0.68,0.76,-1.04,-1.21
162,=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)COCOC1=CC(=C(C(=O)CCCN2CCCC2)C(=C1)O,C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)COCOC1=CC(=C(C(=O)CCC[NH+]2CCCC2)C(=C1)OC),3.9,3.10,20,12.71,2.8,3.00,0.13,0.10,0.59,0.49,1.30,1.10,0.45,0.48,-0.89,-1.00
163,C)OC164CCC1=CC=CC2=C1OC(=C2)C(O)CNC(C)(C)CCC1=C2OC(=CC2=CC=C1)[C@@H](O)C[NH2+]C(](N)(=O)=O)C(O)=OCCCC(=O)N1CCCN(CC1)C2=NC(=C3C=C(O,])=O)[S](N)(=O)=OCCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(OC)C=C3,1.3,1.37,5.6,7.00,3.3,4.79,0.4,0.37,0.11,0.14,0.75,0.84,0.52,0.68,-0.40,-0.43
